chname,ename,gbcode,a100009_10,a100010_10,a100003_10,a100004_10,a100011_10,a100007_10,a100008_10,a100006_10,a100005_10,a100002_10,a100001_10
ε,DuanDianXiang,141002200,34001,2471,21093,9381,31791,18049,6702,18247,36296,22081,43174
ֵ,JiaDeXiang,141002201,36402,3788,23580,12861,40512,23395,7547,23727,47122,24157,47737
ؼׯ,HeJiaZhuangXiang,141002202,3253,643,2159,1590,4199,2144,456,2134,4278,2193,4352
һƽԫ,YiPingYuanXiang,141002203,12140,1100,7175,3849,14380,7028,2741,7428,14456,8806,15981
ͷ,ZhenTouXiang,141002204,14064,1103,9062,4318,18537,9017,3947,9643,18660,10052,19114
ӵ,HeDiXiang,141002205,7789,503,4336,2252,8327,4296,1819,4524,8820,5775,10111
Ӱ´,BinHeBanShiChu,141002400,29665,1595,19302,10686,14765,16830,6453,17015,33845,18411,37713
ֲ,LeChangZhen,141021100,50514,4393,31386,16911,56292,30237,9680,30332,60569,33201,64587
ʷ,ShiCunZhen,141021101,31550,3443,20552,10230,40575,20520,6204,20588,41108,20645,41197
,QuCunZhen,141021102,19187,2033,12619,5995,23936,12008,3915,11802,23810,12516,25135
,GaoXianZhen,141021103,23475,2177,14035,7204,25385,13510,4173,13715,27225,15790,29825
,LiCunZhen,141021104,13662,1372,8906,4475,17237,8905,2952,9060,17965,9080,17986
,BeiDongXiang,141021200,28369,3141,18422,9111,36639,18420,5724,18793,37213,18812,37234
̸,YangTanXiang,141021201,15810,1540,10497,5106,20308,10472,3719,10546,21018,10572,21069
,TangXingZhen,141022100,65842,5130,43674,23738,72755,42160,15890,41735,83895,43188,86862
,NanLiangZhen,141022101,33680,4114,22546,12305,43717,22298,7304,22271,44569,22552,45098
կ,LiZhaiZhen,141022102,21624,2266,14313,7242,28388,14245,5121,14557,28802,14698,29011
¡,LongHuaZhen,141022103,27371,3013,17677,8974,35550,17210,6042,17754,34964,18749,36426
,QiaoShangZhen,141022104,7199,812,4788,2425,9462,4745,1701,4832,9577,4924,9712
,XiYanZhen,141022105,4475,530,2945,1699,5864,2872,1049,2958,5830,3109,6054
,ZhongWeiXiang,141022200,25020,2669,16841,8558,32049,16835,5766,16608,33443,16614,33455
,NanTangXiang,141022201,20460,2171,13623,6908,26658,13613,4629,13619,27232,13637,27260
ׯ,WangZhuangXiang,141022202,23789,2372,15392,8394,28494,15348,5334,15762,31110,16103,31495
,JiaoDiXiang,141022203,4556,556,2962,1572,5885,2959,986,3133,6092,3136,6098
³,XinChengZhen,141023100,61893,5507,39918,21492,69084,35453,12414,35970,71423,39896,79814
Կ,ZhaoKangZhen,141023101,19316,2817,14076,8003,27281,13955,5583,13529,27484,13640,27716
ڳ,FenChengZhen,141023102,37800,4365,25594,13265,48736,24389,9215,24555,48944,25786,51380
ϼ,NanJiaZhen,141023103,19909,2716,13516,7852,26827,13504,4667,13702,27206,13776,27292
ų,GuChengZhen,141023104,32868,3732,22599,11847,43633,22366,8485,22207,44573,22486,45085
,XiangLingZhen,141023105,29865,3144,20394,10049,39316,19965,7702,19631,39596,20317,40711
ׯ,DengZhuangZhen,141023106,31319,3624,20611,10623,40139,20177,6798,20694,40871,21130,41741
,TaoSiXiang,141023200,14534,2026,9782,5533,18519,9734,3163,9536,19270,9941,19723
,YongGuXiang,141023201,9927,1678,7425,4479,14207,7317,3410,7203,14520,7590,15015
ë,JingMaoXiang,141023202,12531,1435,8179,4120,15684,8104,2592,8128,16232,8379,16558
,XiJiaXiang,141023203,13269,1946,9342,5190,18095,9231,3402,9221,18452,9275,18617
,NanXinDianXiang,141023204,32557,3112,21052,10871,40924,20432,7268,20630,41062,21885,42937
,DaDengXiang,141023205,11833,1668,7957,4605,15367,7912,2524,7954,15866,8068,16025
,DaHuaiShuZhen,141024100,114886,8661,74939,39730,148355,73219,27490,73865,147084,76098,151037
ͤ,GanTingZhen,141024101,28207,2393,18874,9531,37841,18866,7747,19435,38301,19473,38347
ͤ,QuTingZhen,141024102,38748,3259,25415,12271,51493,25310,9793,26253,51563,26385,51800
ձ,SuBaoZhen,141024103,20558,1838,13777,7144,27572,13717,5479,14028,27745,14098,27875
ʤ,GuangShengSiZhen,141024104,35745,2733,23656,13464,44510,22937,8532,22741,45678,23354,47010
,MingJiangZhen,141024105,34989,2772,23723,12150,46487,23595,9655,23615,47210,23693,47416
Գ,ZhaoChengZhen,141024106,57318,4441,38975,22878,74153,38296,16306,38678,76974,39090,78065
,WanAnZhen,141024107,47157,4220,31640,15858,63658,31609,13081,32700,64309,32818,64458
ԫ,LiuJiaYuanZhen,141024108,18646,1670,12743,6628,24589,12610,6170,12870,25480,13743,26486
͵,YanDiXiang,141024200,27872,2582,18484,9239,37002,18389,7028,18888,37277,18998,37482
,XingTangSiXiang,141024201,10744,914,7255,4002,14209,7171,3474,7386,14557,7877,15132
̴,DiCunXiang,141024202,34619,3077,25121,13735,48273,25055,13055,25502,50557,25630,50751
,XinCunXiang,141024203,41927,3870,27470,13751,53851,27075,10503,28155,55230,28830,56300
,LongMaXiang,141024204,19234,2030,12410,5965,24384,12324,4317,12850,25174,13171,25581
ɽͷ,ShanTouXiang,141024205,6104,496,3938,2021,7871,3937,1793,4060,7997,4455,8393
ľ,ZuoMuXiang,141024206,5420,471,3468,2021,6784,3424,1396,3435,6859,3819,7287
,YueYangZhen,141025100,26988,1705,17180,9750,28040,15727,6566,16253,31980,18079,35259
ƽ,BeiPingZhen,141025101,9409,604,5460,3321,10906,5421,2381,5988,11409,6934,12394
,GuYangZhen,141025102,9623,683,5503,3360,10578,5412,2306,5791,11203,7109,12612
,JiuXianZhen,141025103,8407,767,5150,2905,10154,5109,1924,5272,10381,5948,11098
ʯ,ShiBiXiang,141025200,4444,506,2909,1753,5855,2909,994,3028,5937,3035,5944
,YongLeXiang,141025201,4218,325,2539,1396,5135,2526,944,2721,5247,2948,5487
ԫ,NanYuanXiang,141025202,6790,695,4286,2387,8639,4251,1519,4563,8814,4718,9004
,FuChengZhen,141026100,24759,1577,15718,10056,24475,14814,6480,15010,29824,17098,32816
ʹ,HeChuanZhen,141026101,7530,811,4884,3232,9729,4850,1782,5187,10037,5239,10123
Ƴ,TangChengZhen,141026102,9743,518,4474,3214,7561,4203,1683,4813,9016,7470,11944
,JiShiZhen,141026103,7008,506,4587,2874,8965,4551,1947,4828,9379,4874,9461
,MaBiXiang,141026200,5160,439,3258,2248,6559,3224,1211,3501,6725,3552,6810
Ŵ,DuCunXiang,141026201,3793,333,2477,1727,4817,2454,924,2538,4992,2573,5050
,LiangMaXiang,141026202,4479,366,2678,1806,5359,2597,963,2791,5388,3130,5808
̳,TianTanZhen,141027100,34934,3116,23677,15865,37977,23373,9686,23442,46815,24059,47736
ˮ,XiangShuiHeZhen,141027101,12382,1306,7814,5042,14737,7674,2810,8011,15685,8684,16498
ׯ,ZhangZhuangXiang,141027200,12938,1779,8597,5294,16170,8588,2719,8812,17400,8839,17436
,DongZhangXiang,141027201,10419,917,6048,3632,10881,5955,2423,6420,12375,7711,13759
,HuaiNianXiang,141027202,5202,652,3354,1993,6547,3346,1098,3556,6902,3598,6952
,BeiWangXiang,141027203,8406,1085,5534,3511,10521,5479,1825,5722,11201,5782,11316
,BeiHanXiang,141027204,3674,437,2267,1498,4585,2261,783,2545,4806,2627,4894
׼ԫ,MiJiaYuanXiang,141027205,3371,566,2117,1521,4357,2105,571,2366,4471,2391,4508
կ,ZhaiGeDaXiang,141027206,3522,353,2304,1494,4289,2299,857,2403,4702,2428,4732
,JiChangZhen,141028100,31752,2773,21197,13720,31461,20737,8864,21478,42215,22192,43389
,TunLiZhen,141028101,9178,1032,6120,3232,12042,6110,2325,6267,12377,6415,12535
,HuKouZhen,141028102,2947,278,1814,965,3487,1740,651,1871,3611,2062,3876
,CheChengXiang,141028200,6044,585,3743,2051,6948,3454,1335,3686,7140,4221,7964
ĳ,WenChengXiang,141028201,6461,708,4258,2442,8534,4257,1542,4447,8704,4453,8711
,DongChengXiang,141028202,4713,470,2864,1596,5663,2773,1029,2925,5698,3348,6212
ɽ,BaiShanSiXiang,141028203,8362,840,5654,3088,11154,5649,2295,5809,11458,5843,11497
ж,ZhongDuoXiang,141028204,8903,902,6021,3268,11996,6021,2418,6201,12222,6202,12223
,ChangNingZhen,141029100,51668,3218,33323,18087,57698,30109,13926,31872,61981,35489,68812
⻪,GuangHuaZhen,141029101,15492,1265,10319,5572,19990,10205,4865,10913,21118,11303,21622
̨ͷ,TaiTouZhen,141029102,10422,568,5641,3583,8926,5294,2598,5739,11033,7947,13588
ͷ,GuanTouZhen,141029103,15496,1212,9415,5053,18395,9109,4274,9662,18771,11567,20982
,XiPoZhen,141029104,11485,722,7162,3668,13399,7048,3548,7708,14756,8593,15755
˫,ShuangHeXiang,141029200,15889,1518,10428,5177,21451,10347,4723,11238,21585,11702,22130
,GuanWangMiaoXiang,141029201,14101,1453,10012,5331,20045,9956,4942,10342,20298,10484,20496
ξׯ,WeiZhuangXiang,141029202,9770,817,6556,3296,13213,6490,3016,6788,13278,7047,13603
�,XiJiaoKouXiang,141029203,7619,674,5184,2787,10574,5112,2582,5526,10638,5691,10875
,ZaoLingXiang,141029204,17807,1636,11814,6358,24492,11580,5861,12701,24281,13490,25304
ˮ,XinShuiZhen,141030100,25183,1999,16791,10053,28546,16573,7484,17407,33980,17875,34666
,QuEZhen,141030101,5965,641,3928,2335,8060,3928,1497,4175,8103,4175,8103
,SanDuoXiang,141030200,5205,559,3400,1827,6971,3398,1261,3618,7016,3625,7025
̫,TaiDeXiang,141030201,3016,278,1902,980,3898,1902,646,2038,3940,2038,3940
Ҷ,XuJiaDuoXiang,141030202,5070,619,3272,1768,6841,3265,1240,3636,6901,3657,6929
̫,TaiGuXiang,141030203,2883,294,1843,1045,3822,1843,661,1995,3838,1995,3838
Ȫ,LongQuanZhen,141031100,29108,2300,19345,12542,32062,19228,8214,20013,39241,20277,39622
,WuChengZhen,141031101,7541,782,4822,2915,9975,4818,1771,5196,10014,5272,10094
,HuangTuZhen,141031102,8367,852,5463,2984,11241,5439,2250,5877,11316,6006,11469
ͷ,YangTouShengXiang,141031200,7078,610,4503,2298,9462,4503,1775,4960,9463,4960,9463
կ,ZhaiZiXiang,141031201,4823,436,3079,1664,6318,3079,1137,3317,6396,3317,6396
,DouPoXiang,141031202,2956,312,1858,921,4020,1858,764,2174,4032,2174,4032
,XiaLiXiang,141031203,6314,714,4078,2258,8517,4078,1595,4545,8623,4545,8623
,ChengNanXiang,141031204,10601,1044,6469,3821,13597,6449,2273,7170,13619,7449,13918
֥,ZhiHeZhen,141032100,19427,1450,12838,7777,18439,12813,5341,13350,26163,13380,26218
ɣ,SangBiZhen,141032101,4173,367,2562,1490,5263,2562,836,2814,5376,2814,5376
,GeDiXiang,141032200,8037,723,5073,2766,10581,5073,1977,5664,10737,5664,10737
ׯ,NanZhuangXiang,141032201,4155,363,2630,1477,5442,2612,982,2847,5459,2870,5500
ʯ,DaShiYaoXiang,141032202,4035,357,2571,1461,5250,2567,923,2726,5293,2744,5315
ͷ,PoTouXiang,141032203,3239,321,2040,1159,4066,2031,663,2152,4183,2183,4223
,JiaoKouXiang,141032204,4838,507,2967,1597,6278,2967,935,3313,6280,3313,6280
ѳ,PuChengZhen,141033100,23722,1719,15737,8815,24382,14943,6799,15419,30362,16503,32240
Ѧ,XueGuanZhen,141033101,3728,555,2551,1745,4733,2550,892,2599,5149,2624,5175
,HeiLongGuanZhen,141033102,15533,1208,8304,4863,16144,7913,3380,8569,16482,11817,20121
˳,KeChengZhen,141033103,12127,938,8155,4251,15620,7994,4083,8318,16312,8993,17148
ɽ,ShanZhongXiang,141033200,2120,259,1336,811,2749,1336,429,1455,2791,1472,2808
,GuXianXiang,141033201,3625,349,2083,1091,4207,2057,840,2259,4316,2731,4814
,HongDaoXiang,141033202,1960,292,1157,779,2354,1132,364,1258,2390,1459,2616
Ǽ,QiaoJiaWanXiang,141033203,10406,645,5431,2706,10100,5103,2347,5456,10559,7967,13398
̫,TaiLinXiang,141033204,7093,427,3328,2280,5584,3186,1499,3645,6831,5691,9019
,YongAnZhen,141034100,15498,1624,10093,5576,20195,10088,4003,10854,20942,11032,21125
,DuiZhuZhen,141034101,8717,964,5648,3091,11567,5647,2214,6242,11889,6247,11895
,QingXiangZhen,141034102,12910,1009,8432,4076,16820,8430,3735,9219,17649,9222,17654
ƽ,HePingZhen,141034103,9453,902,6690,3555,13399,6690,3498,7163,13853,7163,13853
ɮ,SengNianZhen,141034104,10248,908,6932,3639,13660,6925,3077,7300,14225,7301,14233
ƺ,DianPingXiang,141034200,7605,752,4866,2726,10098,4866,2039,5530,10396,5530,10396
Ű,TuanBaiXiang,141034201,7893,684,5682,3098,10886,5679,2992,5887,11566,5887,11569
ϼҪ,XingJiaYaoXiang,141034202,5051,549,3380,1682,6729,3366,1486,3697,7063,3706,7086
ίԱ,SheQuGuanLiWeiYuanHui,141034400,25757,1302,18211,10192,23810,17468,9921,17955,35423,18769,36980
·ֵ´,LuDongJieDaoBanShiChu,141081001,27454,2535,17653,12073,28313,17473,5399,17501,34974,17735,35388
·ֵ´,LuXiJieDaoBanShiChu,141081002,22184,3195,14622,10386,24165,14380,4287,14387,28767,15044,29666
䫱ֵ´,HuiBinJieDaoBanShiChu,141081003,36969,4006,23141,14186,35406,20264,5856,19564,39828,23690,46831
ֵ´,ShangMaJieDaoBanShiChu,141081004,19176,2250,12561,6691,22954,12479,4227,12724,25203,13092,25653
Ŵֵ´,ZhangCunJieDaoBanShiChu,141081005,19084,1777,12204,6576,22152,12153,4261,12521,24674,12918,25122
,XinTianXiang,141081200,32947,3155,21447,11405,33822,21375,6724,21262,42637,21379,42826
ߴ,GaoCunXiang,141081201,12751,1369,8267,3974,15882,8240,2826,8294,16534,8679,16946
,FengChengXiang,141081202,13367,1450,8697,4495,16169,8684,2756,8846,17530,8876,17573
¥ֵ´,GuLouJieDaoBanShiChu,141082001,18821,1432,12343,6744,21693,12046,4808,12215,24261,12718,25061
·ֵ´,BeiHuanLuJieDaoBanShiChu,141082002,16993,927,11305,5840,16699,10258,4727,10590,20848,11342,22647
ϻ·ֵ´,NanHuanLuJieDaoBanShiChu,141082003,9178,759,5974,3483,8889,5972,2302,6258,12230,6265,12239
Ԫֵ´,KaiYuanJieDaoBanShiChu,141082004,14444,1052,9734,4748,14860,8769,3777,8843,17612,9539,19273
ɳֵ´,TuiShaJieDaoBanShiChu,141082005,14231,1136,9531,5503,17040,9461,4122,9623,19084,9958,19489
,BaiLongZhen,141082100,24718,1604,15734,8915,26254,15540,6403,16060,31600,16991,32725
,XinZhiZhen,141082101,36867,3436,23220,14685,42792,22842,8240,23620,46462,25323,48543
,DaZhangZhen,141082102,21858,1991,14552,7814,27319,14536,5649,14930,29466,14946,29498
,LiCaoZhen,141082103,19005,1708,12184,6245,23521,12097,4543,12434,24531,13072,25256
,TaoTangYuXiang,141082200,12423,1115,8043,4278,15542,7974,3181,8255,16229,8676,16719
,SanJiaoXiang,141082201,14567,1346,9483,4660,18793,9460,3808,9967,19427,10238,19721
ʦׯ,ShiZhuangXiang,141082202,8677,979,5558,3259,11297,5554,2078,6073,11627,6176,11734
ӽֵ´,BinHeJieDaoBanShiChu,141102001,64447,2776,42415,21757,56665,32919,15211,34258,67177,40019,82434
ɽֵ´,FengShanJieDaoBanShiChu,141102002,60690,2194,39597,24133,44933,36785,19023,39157,75942,42310,81907
ؽֵ´,LianHuaChiJieDaoBanShiChu,141102003,41686,1853,28720,15750,33687,24234,12592,25022,49256,27411,56131
Ǳֵ´,ChengBeiJieDaoBanShiChu,141102004,6938,617,4725,2623,8347,4697,2178,4899,9596,5008,9733
һֵ´,TianJiaHuiJieDaoBanShiChu,141102005,10736,931,7198,4443,11429,7157,3237,7571,14728,7706,14904
ڽֵ´,JiaoKouJieDaoBanShiChu,141102006,14240,948,8769,5277,12311,8587,4449,9234,17821,10868,19637
ͽֵ´,XiShuBaJieDaoBanShiChu,141102007,13666,1157,9645,4622,15590,7694,3560,7982,15676,8738,18383
,WuChengZhen,141102100,6797,839,4235,2989,8649,4222,1522,4849,9071,4923,9158
,XinYiZhen,141102101,6967,1186,4592,3301,9207,4583,1536,5061,9644,5097,9689
۴,HongYanChuanXiang,141102200,1309,254,739,592,1504,739,182,810,1549,1006,1745
,ZaoLinXiang,141102201,5478,705,3530,2369,6221,3482,1591,4033,7515,4244,7774
ƺͷ,PingTouXiang,141102202,6292,1133,3859,2892,8173,3832,1222,4429,8261,4788,8647
,FengChengZhen,141121100,95397,7585,63150,34786,111075,57117,25589,58061,115178,65421,128571
դ,KaiShanZhen,141121101,25302,2581,16358,8808,33304,16181,6322,17366,33547,17847,34205
ׯ,NanZhuangZhen,141121102,14460,1641,9774,5475,19536,9770,4094,10408,20178,10421,20195
ϰ,NanAnZhen,141121103,24837,2638,16776,8785,33657,16762,6754,17441,34203,17453,34229
,LiuHuLanZhen,141121104,26412,3406,18605,10076,35692,18357,7417,18502,36859,18630,37235
,XiaQuZhen,141121105,27254,3635,19608,9702,38376,19607,8443,19701,39308,19724,39332
Т,XiaoYiZhen,141121106,20105,2200,13594,7471,26746,13584,5676,14286,27870,14387,27981
,NanWuXiang,141121200,15262,1702,10784,4994,21153,10784,4801,10981,21765,10981,21765
,XiChengXiang,141121201,18583,1991,12259,6486,24902,12007,4901,12822,24829,13216,25475
,BeiZhangXiang,141121202,17703,2327,12457,6874,24521,12435,5075,12605,25040,12648,25105
,MaXiXiang,141121203,7887,969,5361,3078,10666,5359,2260,5684,11043,5755,11116
ͷ,XiCaoTouXiang,141121204,11063,1353,7907,4221,15703,7907,3574,8083,15990,8083,15990
,TianNingZhen,141122100,74559,5317,49974,28891,83829,47052,20647,47796,94848,50549,100523
ļӪ,XiaJiaYingZhen,141122101,26835,2613,18064,9682,33753,17985,7077,17985,35970,18461,36525
Ӫ,XiYingZhen,141122102,20904,2133,14021,7278,27303,13788,5526,14445,28233,14542,28563
ˮ,ShuiYuGuanZhen,141122103,9600,1029,6161,3858,13155,6028,2663,6606,12634,7131,13292
,XiSheZhen,141122104,7779,944,5028,2998,10043,5008,1972,5465,10473,5667,10695
Ȫ,PangQuanGouZhen,141122105,1295,223,823,652,1704,815,188,864,1679,883,1706
,HongXiangXiang,141122200,15343,1662,10128,6209,19677,10104,4193,10838,20942,11070,21198
,LingDiXiang,141122201,4712,636,3177,2099,6304,3175,1212,3359,6534,3383,6560
µ,DongPoDiXiang,141122202,3793,618,2339,1690,5123,2328,744,2769,5097,2816,5155
,HuiLiXiang,141122203,4879,613,2756,1747,5688,2689,812,3071,5760,3548,6304
ε,WeiFenZhen,141123100,73976,4862,49066,28658,63356,47974,21777,50322,98296,51549,100615
κ̲,WeiJiaTanZhen,141123101,18001,1760,9803,6403,19237,9483,3318,10173,19656,13276,23079
,WaTangZhen,141123102,12124,1133,7747,3996,15666,7729,2583,8006,15735,8093,15840
,KangNingZhen,141123103,13761,1138,8307,4680,16886,8221,2927,8679,16900,9519,17826
߼Ҵ,GaoJiaCunZhen,141123104,10494,1064,6924,3506,13709,6891,2453,6943,13834,7087,14011
,LuoYuKouZhen,141123105,5230,618,3359,1937,6881,3359,1045,3534,6893,3534,6893
̼һ,CaiJiaHuiZhen,141123106,7469,750,4611,2869,9755,4611,1595,5203,9814,5203,9814
¥,JiaoLouShenXiang,141123200,5722,735,3657,2144,7525,3656,1318,4050,7706,4118,7775
̲,EHuTanXiang,141123201,5770,452,3374,1780,6671,3340,1302,3565,6905,4150,7524
,DongHuiXiang,141123202,4954,621,3201,1961,6599,3188,1129,3477,6665,3503,6704
,GuXianXiang,141123203,6948,714,4395,2307,8883,4371,1564,4510,8881,4831,9226
¼,AoJiaWanXiang,141123204,11565,957,7576,4295,13285,7575,3095,7790,15365,8041,15617
̼,CaiJiaYaXiang,141123205,12318,1348,7308,4685,14344,7197,2370,7597,14794,8728,16036
ؼһ,HeJiaHuiXiang,141123206,4921,499,3222,1966,6372,3219,1117,3315,6534,3315,6537
ϼƺ,MengJiaPingXiang,141123207,8241,827,5207,2706,10529,5182,1577,5402,10584,5438,10645
Լƺ,ZhaoJiaPingXiang,141123208,3139,487,2000,1111,4068,2000,513,2139,4139,2139,4139
و,GeDaShangXiang,141123209,5366,473,3400,2053,7062,3400,1253,3692,7092,3692,7092
Ȫ,LinQuanZhen,141124100,67233,4819,45375,26683,66809,42518,19618,44166,86684,46295,91670
,BaiWenZhen,141124101,23248,2631,15709,9016,31401,15648,6372,16336,31984,16542,32251
ׯ,ChengZhuangZhen,141124102,17519,1824,11591,6385,23592,11573,4788,12448,24021,12540,24131
,TuBanZhen,141124103,15711,1410,10257,6130,20777,10203,4589,11388,21591,11453,21710
˻,KeHuZhen,141124104,8706,696,5485,3232,11313,5461,2349,5994,11455,6266,11751
,SanJiaoZhen,141124105,36626,3884,24750,13997,49156,24548,10742,26262,50810,26502,51252
ˮͷ,TuanShuiTouZhen,141124106,11966,1067,7844,4667,15922,7771,3654,8435,16206,8843,16687
ּƺ,LinJiaPingZhen,141124107,17476,1984,11568,7481,23824,11560,4985,12806,24366,12877,24445
,ZhaoXianZhen,141124108,10719,1021,6700,3945,13510,6593,2602,7203,13796,7642,14342
ӿ,QiKouZhen,141124109,22012,2348,14431,8259,29739,14295,5649,15424,29719,15578,30009
һ,LiuJiaHuiZhen,141124110,21143,2128,13863,6120,28555,13850,5860,15223,29073,15268,29131
,CongLuoYuZhen,141124111,12097,1195,8039,4181,16498,8035,3498,8746,16781,8751,16790
,QuYuZhen,141124112,19030,1695,12665,6671,25968,12643,5394,13430,26073,13454,26119
ľƺ,MuGuaPingXiang,141124200,13725,1186,8364,5357,15500,8240,3497,8922,17162,10044,18408
ҵ,AnYeXiang,141124201,15433,1548,10479,5819,20753,10468,4495,10976,21444,10997,21476
ƺ,YuPingXiang,141124202,12844,1441,8598,4341,17241,8593,3385,9067,17660,9072,17670
,QingLiangSiXiang,141124203,11209,1155,7217,4233,14763,7202,2811,7914,15116,7958,15175
ʯͷ,ShiBaiTouXiang,141124204,14385,1463,9328,5165,19301,9265,3917,10336,19601,10437,19765
׼,LeiJiaQiXiang,141124205,11343,1066,7238,4420,14778,7215,3035,8071,15286,8206,15444
ڰ˱,DiBaBaoXiang,141124206,8836,857,5815,3424,12017,5813,2468,6343,12156,6346,12161
,DaYuXiang,141124207,26145,2817,17701,9752,35406,17684,7447,18684,36368,18708,36409
,CheGanXiang,141124208,10077,1102,6888,4029,13960,6888,3035,7176,14064,7326,14214
ׯ,AnJiaZhuangXiang,141124209,13112,1335,8725,4911,17814,8710,3620,9323,18033,9342,18067
,LiuLinZhen,141125100,82733,3669,53948,29924,67118,51006,26511,53385,104391,58965,112913
´,MuCunZhen,141125101,24960,1456,15875,9488,19623,15083,8498,16151,31234,19039,34914
Ѧ,XueCunZhen,141125102,10981,1204,7072,4688,12973,6967,2988,7465,14432,8101,15173
ׯ,ZhuangShangZhen,141125103,13374,998,8496,4573,15594,8378,4070,8966,17344,9946,18442
,LiuYuZhen,141125104,9254,954,5886,3402,11948,5814,2398,6302,12116,6720,12606
,SanJiaoZhen,141125105,8346,1142,5693,4155,11585,5647,2484,6199,11846,6279,11972
ɼׯ,ChengJiaZhuangZhen,141125106,9388,977,5740,3874,11359,5617,2482,6286,11903,7107,12847
,MengMenZhen,141125107,12298,1072,5950,3872,11780,5631,2455,6224,11855,9875,15825
,LiJiaWanXiang,141125200,9913,939,6294,3817,11998,6189,2664,6873,13062,7222,13516
ּԫ,JiaJiaYuanXiang,141125201,5648,833,3744,2588,7851,3743,1435,4170,7913,4172,7916
¼,ChenJiaWanXiang,141125202,16870,1236,10000,5395,19043,9854,4779,10308,20162,12885,22885
ׯ,JinJiaZhuangXiang,141125203,7179,672,4851,2851,8946,4801,2661,5402,10203,5661,10512
߼ҹ,GaoJiaGouXiang,141125204,7183,1142,4681,3131,9653,4666,1747,5148,9814,5391,10072
ʯ,ShiXiXiang,141125205,6083,620,4178,2395,8579,4178,2025,4550,8728,4550,8728
ҹ,WangJiaGouXiang,141125206,8977,979,5385,3289,10272,5269,2399,5901,11170,6970,12355
Ȫ,LingQuanZhen,141126100,29334,2005,20374,12308,28470,20299,10657,21038,41337,21622,41996
޴,LuoCunZhen,141126101,8795,641,5368,3064,11136,5309,2220,5791,11100,6288,11656
,YiDieZhen,141126102,4650,362,3302,1959,6200,3301,1747,3454,6755,3457,6759
С,XiaoSuanZhen,141126103,6723,676,4479,2849,9111,4479,1911,4831,9310,4831,9310
,LongJiaoXiang,141126200,7008,614,4510,2537,9416,4508,2081,4943,9451,5193,9703
ͺ,HeHeXiang,141126201,7143,639,4664,2509,9662,4664,2011,5129,9793,5129,9793
ǰɽ,QianShanXiang,141126202,6183,501,4002,2197,8404,4002,1762,4436,8438,4444,8446
ܼԫ,CaoJiaYuanXiang,141126203,4987,385,3124,1646,6662,3124,1370,3618,6742,3618,6742
ṵ,PeiGouXiang,141126204,5306,475,3578,2145,7399,3578,1629,3832,7410,3832,7410
,DongCunZhen,141127100,43534,2787,29214,17075,36542,28261,13451,29912,58173,30558,59772
ᰳ,LanChengZhen,141127101,7822,898,5172,2826,10268,5172,2016,5560,10732,5564,10736
,PuMingZhen,141127102,15005,1466,10165,5494,20024,10165,4404,10709,20874,10710,20875
ӿ,JieHeKouZhen,141127103,4077,433,2627,1475,5234,2627,861,2744,5371,2744,5371
,TuYuXiang,141127200,4057,420,2670,1433,5307,2670,1009,2816,5486,2816,5486
,ShangMingXiang,141127201,10080,966,6635,3106,13629,6614,2659,7054,13668,7070,13705
ʨ,WangShiXiang,141127202,7353,715,4699,2582,9706,4683,2059,5246,9929,5428,10127
ׯ,LiangJiaZhuangXiang,141127203,9208,869,6026,3309,11751,5983,2680,6263,12246,6731,12757
˳,ShunHuiXiang,141127204,6281,683,4106,2021,8128,4104,1473,4327,8431,4331,8437
ӿ,HeKouXiang,141127205,3622,477,2386,1349,4881,2386,906,2610,4996,2619,5005
,SheKeXiang,141127206,11583,1138,7307,3975,14541,7292,2807,7706,14998,8221,15528
ͷ,DaSheTouXiang,141127207,4712,543,3057,1678,6278,3057,1128,3324,6381,3326,6383
ٶ,GeDongZhen,141128100,31769,2422,20882,13567,40005,20878,9218,22488,43366,22527,43409
�,MaFangZhen,141128101,12131,1236,7771,4266,15984,7768,3285,8872,16640,8881,16652
,YuKouZhen,141128102,18658,1891,11896,7112,23635,11752,4981,12977,24729,13634,25530
,DaWuZhen,141128103,25686,2109,15427,8755,27175,14726,6520,15931,30657,18888,34315
䵱,BeiWuDangZhen,141128104,4319,509,2670,1846,5552,2669,1018,3169,5838,3176,5846
,JiCuiXiang,141128200,6424,528,3989,2408,8326,3989,1558,4521,8510,4521,8510
ػ,MaDiHuiXiang,141128201,7011,612,4396,3259,9312,4393,1924,5147,9540,5151,9547
,NingXiangZhen,141129100,55352,2908,36399,21276,45049,35140,18230,37969,73109,40091,76490
,JinLuoZhen,141129101,15968,1370,10233,6040,17314,10130,4496,10691,20821,11601,21834
֦,ZhiKeZhen,141129102,4940,545,3248,1989,6715,3238,1376,3571,6809,3613,6861
ׯ,WuJiaZhuangZhen,141129103,5824,697,3193,1910,6618,3185,1064,3637,6822,4392,7585
ůȪ,NuanQuanZhen,141129104,7816,944,5064,3186,10557,5056,1968,5657,10713,5664,10728
ɽ,ZhangZiShanXiang,141129200,7423,906,4356,2607,8229,4313,1500,4462,8775,5473,9829
,XiaZaoLinXiang,141129201,6155,753,3437,2092,7086,3391,1139,3879,7270,4610,8047
ˮͷ,ShuiTouZhen,141130100,21795,1134,14450,7929,20755,13193,6826,14162,27355,15305,29755
,KangChengZhen,141130101,10431,1053,6984,4261,13578,6962,3383,7827,14789,7883,14867
